,NBAC_nfireid,WFS event,area,dice_coefficient,NFDB_fireid
0,658.0,144,11254629.472423494,0.6872402309811739,
1,674.0,155,1532879.240145773,0.2559937356595395,
2,674.0,167,3096117.3266587406,0.3728137243279416,
3,659.0,168,11226903.320675567,0.6715063794884617,
4,,168,11226903.320675567,0.7591631312293157,23PA-LILLY
5,979.0,210,496338.3807844725,0.37609694218651385,
6,,210,496338.3807844725,0.3760969421895056,23BN-BRIR01
7,648.0,214,3972660.8138767993,0.531758370616559,
8,351.0,221,2223809738.576981,0.46239942277214385,
9,352.0,221,2223809738.576981,0.3460676138667696,
10,671.0,221,2223809738.576981,0.02426736699878581,
11,673.0,221,2223809738.576981,0.04705993350447938,
12,1641.0,221,2223809738.576981,0.00644373164193114,
13,,221,2223809738.576981,0.014401553918429516,23BN-HILLS
14,,221,2223809738.576981,0.5771723252794417,23BN-VERMETTE
15,,221,2223809738.576981,0.031320830731846695,23BN-VOLD
16,,221,2223809738.576981,0.41365845311261457,23LX-LSZ001
17,,221,2223809738.576981,0.05503690030131052,23LX-PAWR03
18,643.0,248,11128614.075414518,0.4616217152264538,
19,,248,11128614.075414518,0.672146759117722,23LF-ROCKY
20,668.0,257,74892259.30558525,0.6562291384191526,
21,,257,74892259.30558525,0.8278846380201368,23BR-SAULTEAUX
22,982.0,258,4773893.294573773,0.7113561337574568,
23,,258,4773893.294573773,0.7113561337566748,23HB-DELTA
24,1021.0,270,471795.6504663401,0.32020592393370073,
25,,270,471795.6504663401,0.32020592393056746,23HB-FWDF01
26,981.0,290,3184806.109028107,0.8182622485750067,
27,,290,3184806.109028107,0.8182622485726193,23BN-LOCAL
28,668.0,319,172909.53592729432,0.0008952057503910374,
29,,319,172909.53592729432,0.00117108553062816,23BR-SAULTEAUX
30,980.0,333,1174179.2132086542,0.502801355940858,
31,,333,1174179.2132086542,0.5028013559430773,23HB-MUSKEG
32,982.0,334,394718.4670541409,0.11914811731206107,
33,,334,394718.4670541409,0.11914811731142012,23HB-DELTA
34,350.0,398,2142073936.625745,0.6934634467804994,
35,,398,2142073936.625745,0.000813639145193035,23LX-PELICAN
36,,398,2142073936.625745,0.9310912717042858,23LX-SHAW
37,651.0,438,23306433.93336074,0.6540929277069415,
38,,438,23306433.93336074,0.7819436461618124,23WY-MEYAK
39,657.0,467,5670916.618803014,0.6741390556526106,
40,,467,5670916.618803014,0.7048311713926477,23PA-SLIR03
41,983.0,480,4115773.250383935,0.48149503417257905,
42,,480,4115773.250383935,0.4814950341720025,23HB-CHIR02
43,349.0,488,7617925063.275103,0.7348903052469398,
44,,488,7617925063.275103,0.0016525251764611623,23LA-CHURCH
45,,488,7617925063.275103,0.6455929482971652,23LA-MCCRAE
46,,488,7617925063.275103,0.058197500417244426,23LX-ELLERAAS
47,,488,7617925063.275103,0.011050730439083284,23LX-HAULTAIN
48,,488,7617925063.275103,0.46047543269550617,23LX-SMITH
49,652.0,493,743500764.0949992,0.7350689840054024,
50,,493,743500764.0949992,0.8949130738892855,23LA-WISTIGO
51,615.0,501,52631008.296864435,0.8274378741021362,
52,,501,52631008.296864435,0.2017752525264032,23LA-COWIE
53,,501,52631008.296864435,0.8309536711313257,23LA-KOLWASKIE
54,632.0,510,13373117.821221314,0.8515415415091598,
55,,510,13373117.821221314,0.8613761260689794,23LA-DECEPTION
56,984.0,569,3586187.526127295,0.5834685982770658,
57,,569,3586187.526127295,0.5834685982776195,23BR-AIR04
58,,695,282289.3640964649,2.1563262562802477e-05,23BN-VERMETTE
59,655.0,763,504013781.1243912,0.8351820865740239,
60,,763,504013781.1243912,0.8699470498054653,23LX-BOLDING
61,625.0,771,70357671.1197142,0.7318707778625193,
62,,771,70357671.1197142,0.792941608494566,23DB-KPIR02
63,606.0,772,212287741.455752,0.8975616422277035,
64,,772,212287741.455752,0.9329110834267822,23SR-RIACH
65,607.0,775,98181718.29946409,0.7503587758120736,
66,,775,98181718.29946409,0.8363244610867376,23SR-KAY
67,641.0,797,186578404.19054845,0.7474633356232878,
68,,797,186578404.19054845,0.6298621861849988,23LA-SHARP
69,986.0,805,6542084.532192846,0.6226461385770024,
70,,805,6542084.532192846,0.622646138577046,23HB-CLEM
71,987.0,836,1282327.0451280547,0.7304041198209776,
72,,836,1282327.0451280547,0.7304041198230329,23SR-SINGER
73,641.0,900,226632.34699615976,0.0025541237342862674,
74,,900,226632.34699615976,0.00349256649716259,23LA-SHARP
75,625.0,902,744510.8229097218,0.016773634226116833,
76,,902,744510.8229097218,0.015488685959412994,23DB-KPIR02
77,987.0,909,381793.9168014033,0.007416934192371116,
78,,909,381793.9168014033,0.007416934191380483,23SR-SINGER
79,664.0,971,11287286.99306723,0.742155843590043,
80,661.0,972,257716965.21316034,0.6085171497382424,
81,,972,257716965.21316034,0.6920388532490833,23BN-SHAD
82,608.0,979,215243905.55264252,0.7780301929587236,
83,,979,215243905.55264252,0.30136699050283644,23SR-DEBUS
84,,979,215243905.55264252,0.46376496467759465,23SR-DEBUS2
85,,979,215243905.55264252,0.4868197969079013,23SR-JACKFISH
86,989.0,985,1711941.50115556,0.5241925891015643,
87,,985,1711941.50115556,0.5241925891006614,23LF-PLAKE
88,641.0,995,3279685.4141006414,0.018605111041521367,
89,,995,3279685.4141006414,0.04370854745091469,23LA-SHARP
90,162.0,996,4032354.52664225,0.35276782256282185,
91,988.0,997,2361495.4341998925,0.782819160393569,
92,,997,2361495.4341998925,0.7828191603919247,23BN-BNIR02
93,670.0,998,23265146.985039968,0.6308262668139195,
94,,998,23265146.985039968,0.7472937039967997,23BN-AARON
95,641.0,1006,184734.14216927526,0.0009190709187640051,
96,988.0,1027,282289.36416140356,0.08125639763875706,
