,agency label,fire name,event,dice_coefficient
0,1159.0,Kenora_51,1,0.033913901346316146
1,1159.0,Kenora_51,1,0.8570955531283837
2,MB2021EA112,Kenora_51,1,0.03386271695983803
3,KEN51,Kenora_51,1,0.7546309229869919
4,RED10,Kenora_51,1,0.03344835279406684
5,RED72,Kenora_51,1,0.03963670530276658
6,RED77,Kenora_51,1,0.18791870242727715
7,300.0,Kenora_51,13,0.10665256768236978
8,RED16,Kenora_51,13,0.0700876024560045
9,RED70,Kenora_51,13,0.27701365164179087
10,RED71,Kenora_51,13,0.024310756896294944
11,2223.0,Kenora_51,31,0.8450756686862517
12,RED73,Kenora_51,31,0.8357253621848624
13,300.0,Kenora_51,71,0.012417599994642328
14,RED16,Kenora_51,71,0.009725684466009663
15,300.0,Kenora_51,76,0.01756350245501485
16,300.0,Kenora_51,76,0.05338994113900181
17,MB2021EA119,Kenora_51,76,0.01703286064309863
18,RED16,Kenora_51,76,0.049450457595070094
19,300.0,Kenora_51,113,0.028373309349457674
20,MB2021EA119,Kenora_51,113,0.028338448455710527
21,300.0,Kenora_51,132,0.0059645011130471095
22,MB2021EA119,Kenora_51,132,0.005725895881339721
23,1025.0,Kenora_51,133,0.30570453113788704
24,MB2021EA202,Kenora_51,133,0.30831021293798727
25,2024-340,Labrador_City,1,0.04920924667988606
26,286.0,Red_Lake_51,1,0.911104439187838
27,RED51,Red_Lake_51,1,0.9212679068144234
28,283.0,Red_Lake_51,22,0.7612766042359106
29,RED120,Red_Lake_51,22,0.8055190820834606
