,NBAC_nfireid,WFS_sandboxid,event,dice_coefficient,NFDB_fireid
0,451.0,Jasper_Complex,1,0.5992523658122016,
1,,Jasper_Complex,1,0.608907505381065,2024JA010
2,451.0,Jasper_Complex,2,0.07204231046753926,
3,,Jasper_Complex,2,0.07840341640870307,2024JA010
4,451.0,Jasper_Complex,11,0.02256350129115646,
5,,Jasper_Complex,11,0.022336964478321564,2024JA010
6,451.0,Jasper_Complex,12,0.003640974513069792,
7,,Jasper_Complex,12,0.0035286463426594163,2024JA010
8,1159.0,Kenora_51,1,0.033913901346316146,
9,1159.0,Kenora_51,1,0.8570955531283837,
10,,Kenora_51,1,0.03386271695983803,MB2021EA112
11,,Kenora_51,1,0.7546309229869919,KEN51
12,,Kenora_51,1,0.03344835279406684,RED10
13,,Kenora_51,1,0.03963670530276658,RED72
14,,Kenora_51,1,0.18791870242727715,RED77
15,300.0,Kenora_51,13,0.10665256768236978,
16,,Kenora_51,13,0.0700876024560045,RED16
17,,Kenora_51,13,0.27701365164179087,RED70
18,,Kenora_51,13,0.024310756896294944,RED71
19,2223.0,Kenora_51,31,0.8450756686862517,
20,,Kenora_51,31,0.8357253621848624,RED73
21,300.0,Kenora_51,71,0.012417599994642328,
22,,Kenora_51,71,0.009725684466009663,RED16
23,300.0,Kenora_51,76,0.01756350245501485,
24,300.0,Kenora_51,76,0.05338994113900181,
25,,Kenora_51,76,0.01703286064309863,MB2021EA119
26,,Kenora_51,76,0.049450457595070094,RED16
27,300.0,Kenora_51,113,0.028373309349457674,
28,,Kenora_51,113,0.028338448455710527,MB2021EA119
29,300.0,Kenora_51,132,0.0059645011130471095,
30,,Kenora_51,132,0.005725895881339721,MB2021EA119
31,1025.0,Kenora_51,133,0.30570453113788704,
32,,Kenora_51,133,0.30831021293798727,MB2021EA202
33,553.0,Labrador_City,1,0.4375212437329744,
34,553.0,Labrador_City,1,0.05150557779269101,
35,,Labrador_City,1,0.04920924667988606,2024-340
36,553.0,Labrador_City,2,0.06729287104228185,
37,553.0,Labrador_City,3,0.06646315507450042,
38,553.0,Labrador_City,6,0.016392805058983398,
39,553.0,Labrador_City,9,0.0023001699502559476,
40,261.0,Paradise_Lake,1,0.775784989355765,
41,260.0,Paradise_Lake,2,0.7646837776084442,
42,260.0,Paradise_Lake,15,0.003324526629889697,
43,260.0,Paradise_Lake,18,0.00259687602790426,
44,261.0,Paradise_Lake,19,0.0013668944345349694,
45,479.0,Red_Earth_East,1,0.6942437446641538,
46,480.0,Red_Earth_East,2,0.5626710156695679,
47,485.0,Red_Earth_East,5,0.6857949825256203,
48,480.0,Red_Earth_East,7,0.077062013966471,
49,508.0,Red_Earth_East,10,0.7306853545019206,
50,514.0,Red_Earth_East,15,0.3602343277447363,
51,478.0,Red_Earth_East,26,0.8613753594045823,
52,480.0,Red_Earth_East,35,0.000505825039514286,
53,508.0,Red_Earth_East,39,0.010792704986507848,
54,480.0,Red_Earth_East,44,0.00787822572377421,
55,508.0,Red_Earth_East,50,0.0028278061086013037,
56,480.0,Red_Earth_East,51,0.01946271768624468,
57,480.0,Red_Earth_East,52,0.016502209773986667,
58,479.0,Red_Earth_East,56,0.0016667125146331326,
59,480.0,Red_Earth_East,57,0.001743049524343552,
60,480.0,Red_Earth_East,74,0.0012917156495579523,
61,480.0,Red_Earth_East,78,0.00033159497189369177,
62,480.0,Red_Earth_East,79,0.0008982532456423813,
63,479.0,Red_Earth_East,80,0.050412866851873205,
64,508.0,Red_Earth_East,81,0.0020168497952933995,
65,480.0,Red_Earth_East,82,0.0005058250395559194,
66,480.0,Red_Earth_East,83,0.0005058250397062832,
67,480.0,Red_Earth_East,85,0.0008878778540411794,
68,479.0,Red_Earth_East,87,0.0007102678757714239,
69,479.0,Red_Earth_East,88,0.0002839806523024501,
70,479.0,Red_Earth_East,89,0.0003544783088305961,
71,480.0,Red_Earth_East,91,0.00016824524191947794,
72,480.0,Red_Earth_East,92,0.00020292277956753362,
73,480.0,Red_Earth_East,93,0.0004369905230773643,
74,480.0,Red_Earth_East,94,0.0004135735726194854,
75,480.0,Red_Earth_East,95,0.00015012849884787308,
76,496.0,Red_Earth_East,99,0.09339741147357053,
77,479.0,Red_Earth_East,100,0.0003387784183849397,
78,480.0,Red_Earth_East,101,0.0022742123027905997,
79,480.0,Red_Earth_East,102,0.002682309091175741,
80,480.0,Red_Earth_East,103,0.00010372338907857529,
81,480.0,Red_Earth_East,104,0.00026449466445515343,
82,480.0,Red_Earth_East,105,0.0005058250396386703,
83,480.0,Red_Earth_East,108,0.002738550735783318,
84,480.0,Red_Earth_East,115,0.0011535736118018587,
85,496.0,Red_Earth_East,119,0.03716551658629576,
86,479.0,Red_Earth_East,122,0.00047982518671037965,
87,508.0,Red_Earth_East,123,0.0005498103993535118,
88,496.0,Red_Earth_East,124,0.11841368480150796,
89,480.0,Red_Earth_East,129,0.0009080313515182712,
90,496.0,Red_Earth_East,132,0.025981063133295713,
91,496.0,Red_Earth_East,134,0.0861237886140765,
92,286.0,Red_Lake_51,1,0.911104439187838,
93,,Red_Lake_51,1,0.9212679068144234,RED51
94,283.0,Red_Lake_51,22,0.7612766042359106,
95,,Red_Lake_51,22,0.8055190820834606,RED120
96,217.0,ZF011_23,1,0.9188054232495988,
97,,ZF011_23,1,0.9188054232629438,ZF011-23
98,330.0,ZF011_23,22,0.14643574723766695,
99,,ZF011_23,22,0.14643574720981117,ZF012-23
100,283.0,,,0.905917712564596,RED120
101,286.0,,,0.9064094766788818,RED51
102,300.0,,,0.9857333546525786,MB2021EA119
103,300.0,,,0.00017064182907446202,RED16
104,300.0,,,0.7799052410714306,RED16
105,300.0,,,0.13287744941215895,RED70
106,300.0,,,0.0015073494697787325,RED71
107,1025.0,,,0.9860968356448626,MB2021EA202
108,1159.0,,,0.9953581385954148,MB2021EA112
109,1159.0,,,6.474220784338837e-05,KEN51
110,1159.0,,,9.658707044811777e-09,MB2021EA112
111,1159.0,,,0.7976857968265771,KEN51
112,1159.0,,,0.047718790592824946,RED10
113,1159.0,,,0.04954042637543118,RED72
114,1159.0,,,0.21678716116981114,RED77
115,2031.0,,,0.9867409087251866,ZF026-21
116,2223.0,,,0.8920885895950974,RED73
117,2787.0,,,0.9999993604240924,2021JA005
118,147.0,,,0.9529799993841143,ZF055-22
119,871.0,,,0.9999998141402922,SWF-142-2022
120,872.0,,,0.9999999735176576,SWF-141-2022
121,1164.0,,,0.9999998688130649,MWF-068-2022
122,1170.0,,,0.99999998174231,SWF-079-2022
123,1173.0,,,0.9999999991393879,SWF-035-2022
124,1290.0,,,0.9999998695783672,2022JA004
125,1306.0,,,0.9998093807505112,2022JA007
126,214.0,,,0.9143303108282268,RED70
127,217.0,,,0.9999999998650884,ZF011-23
128,330.0,,,0.9999999997030049,ZF012-23
129,683.0,,,0.82813688476425,SWF081
130,685.0,,,0.8289323991505027,SWF116
131,1775.0,,,0.9999999999615488,SWF113
132,131.0,,,0.8737726216966512,SWF-120-2024
133,451.0,,,0.9713494856909345,2024JA010
134,553.0,,,1.2586324558607135e-08,2024-340
135,553.0,,,0.9270256946544942,2024-340
136,1472.0,,,0.9937954719807306,SWF-045-2024
137,1473.0,,,0.991535194511781,SWF-046-2024
